SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-53,86,86.0,"5,200",40,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:47,86,86,802.11d/e/h/i/r,No,5,46.7%,FR,,2
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-77,46,46.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:43:00,46,46,802.11d/e/i/r,No,9,64.7%,FR,,1
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-59,83,83.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,26/02/2025 10:30:08,83,83,802.11d/e/i/r,No,25,2.7%,FR,,3
eduroam,84-B2-61-08-E9-32,802.11g/n,-70,67,67.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:36:10,67,67,802.11d/e/i/r,No,1,68.6%,FR,,3
eduroam,84-B2-61-15-03-42,802.11g/n,-90,16,16.0,"2,412",1,208,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:32:19,16,16,802.11d/e/i/r,No,5,38.0%,FR,,4
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-64,80,80.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,7,32.9%,FR,,2
oplus_co_apasoi,62-8E-88-F1-C2-23,802.11g/n/ac,-91,14,14.0,"2,437",6,179,13,,,,WPA2-PSK,CCMP,780 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,14/03/2025 10:01:17,14,14,802.11i,No,,,,,
OPPO A9 2020,9E-16-4B-28-28-A1,802.11g/n/ac,-92,13,13.0,"2,437",6,193,16,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,02/02/2025 20:18:25,13,13,802.11i/y,No,,,,,
Patati patata,AE-2A-1E-4E-41-6D,802.11g/n,-93,11,11.0,"2,437",6,219,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,,11,11,802.11d/h/i,No,,,FR,,
S21 de Thomas,E6-A1-AC-72-BA-99,802.11g/n,-90,16,16.0,"2,412",1,229,18,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,14/03/2025 10:01:15,16,16,802.11d/h/i,No,,,FR,,
UTT,84-B2-61-08-E9-3E,802.11n/ac,-60,82,82.0,"5,240",48,183,16,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,26/02/2025 10:30:08,82,82,802.11d/e,No,25,2.7%,FR,,3
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-64,80,80.0,"2,462",11,160,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:38,80,80,802.11d/e/h,No,7,32.9%,FR,,2
UTT,84-B2-61-08-E9-31,802.11g/n,-70,67,67.0,"2,437",6,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:36:10,67,67,802.11d/e,No,1,68.6%,FR,,3
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-53,86,86.0,"5,200",40,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:47,86,86,802.11d/e/h,No,5,46.7%,FR,,2
UTT,E4-AA-5D-3E-E7-5F,802.11n/ac,-83,31,31.0,"5,200",40,192,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,12/03/2025 08:12:21,31,31,802.11d/e,No,96,31.0%,FR,,1
UTT,84-B2-61-15-03-41,802.11g/n,-89,18,18.0,"2,412",1,167,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:32:19,18,18,802.11d/e,No,3,42.7%,FR,,4
UTT,E4-AA-5D-3E-E7-50,802.11g/n,-86,24,24.0,"2,412",1,164,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:43:00,24,24,802.11d/e,No,10,60.4%,FR,,1
UTTetudiants,5C-5A-C7-0C-55-E2,802.11g/n,-65,80,80.0,"2,462",11,206,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,7,32.9%,FR,,2
UTTetudiants,E4-AA-5D-3E-E7-52,802.11g/n,-77,46,46.0,"2,412",1,204,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:43:00,46,46,802.11d/e/i/r,No,9,64.7%,FR,,1
UTTetudiants,84-B2-61-08-E9-37,802.11n/ac,-70,67,74.5,"2,437",6,230,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,2,18/07/2023 09:36:10,67,82,802.11d/e/i/r,No,25,2.7%,FR,,3
UTTetudiants,5C-5A-C7-0C-55-ED,802.11n/ac,-53,86,86.0,"5,200",40,274,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:47,86,86,802.11d/e/h/i/r,No,5,46.7%,FR,,2
UTTetudiants,84-B2-61-15-03-47,802.11g/n,-89,18,18.0,"2,412",1,213,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:32:19,18,18,802.11d/e/i/r,No,4,58.0%,FR,,4
UTTetudiants,E4-AA-5D-3E-E7-5D,802.11n/ac,-83,31,31.0,"5,200",40,238,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,12/03/2025 08:12:21,31,31,802.11d/e/i/r,No,97,51.0%,FR,,1
UTTpersonnels,84-B2-61-08-E9-38,802.11n/ac,-69,70,75.5,"2,437",6,229,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,2,18/07/2023 09:36:10,70,81,802.11d/e/i/r,Yes,25,2.7%,FR,,3
UTTpersonnels,5C-5A-C7-0C-55-EC,802.11n/ac,-53,86,86.0,"5,200",40,275,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:47,86,86,802.11d/e/h/i/r,No,5,46.7%,FR,,2
UTTpersonnels,5C-5A-C7-0C-55-E3,802.11g/n,-65,80,80.0,"2,462",11,207,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,7,32.9%,FR,,2
UTTpersonnels,E4-AA-5D-3E-E7-53,802.11g/n,-89,18,18.0,"2,412",1,211,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 11:12:49,14/03/2025 11:12:49,1,18/07/2023 09:43:00,18,18,802.11d/e/i/r,No,9,80.8%,FR,,1
